57B	[/36x][35x]	(PartyIdentifier)(Location)
57C	/34x	(PartyIdentifier)
57D	[/36x\n]4*35x	(PartyIdentifier)(NameAndAddress)
57J	5*40x	(PartyIdentifier)
58A	[/36x\n]11c	(PartyIdentifier)(BIC)
58D	[/36x\n]4*35x	(PartyIdentifier)(NameAndAddress)
58J	5*40x	(PartyIdentifier)
59	[/34x\n]4*35x	(Account)(NameAndAddress)
59A	[/34x\n]11c	(Account)(BIC)
59F	[/34x\n]4*35x	(Account)(Number)(NameandAddressDetails)
60F	1!a6!n3!a15d	(DOrCMark)(Date)(Unit)(Amount)
60M	1!a6!n3!a15d	(DOrCMark)(Date)(Unit)(Amount)
61	6!n[4!n]2a[1!a]15d4!c16x[//16x][\n34x]	(Date)(EntryDate)(DebitOrCreditMark)(FundsCode)(Amount)(TransactionTypeIdentificationCode)(ReferenceAccountOwner)(AccountServicingInstitutionsReference)(SupplementaryDetails)
62F	1!a6!n3!a15d	(DOrCMark)(Date)(Unit)(Amount)
62M	1!a6!n3!a15d	(DOrCMark)(Date)(Unit)(Amount)
64	1!a6!n3!a15d	(DOrCMark)(Date)(Unit)(Amount)
65	1!a6!n3!a15d	(DOrCMark)(Date)(Unit)(Amount)
69A	:4!c//8!n/8!n	(Qualifier)(Date1)(Date2)
69B	:4!c//8!n6!n/8!n6!n	(Qualifier)(Date)(Time)(Date)(Time)
69C	:4!c//8!n/4!c	(Qualifier)(Date)(DateCode)
69D	:4!c//8!n6!n/4!c	(Qualifier)(Date)(Time)(DateCode)
69E	:4!c//4!c/8!n	(Qualifier)(DateCode)(Date)
69F	:4!c//4!c/8!n6!n	(Qualifier)(DateCode)(Date)(Time)
69J	:4!c//4!c	(Qualifier)(DateCode)
70	4*35x	(Narrative)
70C	:4!c//4*35x	(Qualifier)(Narrative)
70D	:4!c//6*35x	(Qualifier)(Narrative)
70E	:4!c//10*35x	(Qualifier)(Narrative)
70F	:4!c//8000z	(Qualifier)(Narrative)
70G	:4!c//10*35z	(Qualifier)(Narrative)
71A	3!a	(Code)
71B	6*35x	(Narrative)
71C	6*35x	(Narrative)
71F	3!a15d	(Currency)(Amount)
71G	3!a15d	(Currency)(Amount)
72	6*35x	(NarrativeStructuredFormat)
76	6*35x	(Narrative)
77A	20*35x	(Narrative)
77B	3*35x	(Narrative)
77D	6*35x	(Narrative)
77E	[73x\n][9800*78x]	(Text)(InnerText)
77H	6a[/8!n][//4!n]	(TypeOfAgreement)(Date)(Version)
77T	9000z	(Contents)
79	35*50x	(Narrative)
81A	[/36x\n]11c	(PartyIdentifier)(BIC)
81D	[/36x\n]4*35x	(PartyIdentifier)(NameandAddress)
81J	5*40x	(PartyIdentification)
82A	[/36x\n]11c	(PartyIdentifier)(BIC)
82B	[/36x][35x]	(PartyIdentifier)(Location)
82D	[/36x\n]4*35x	(PartyIdentifier)(NameAndAddress)
82J	5*40x	(PartyIdentifier)
83A	[/36x\n]11c	(PartyIdentifier)(BIC)
83C	/34x	(Account)
83D	[/36x\n]4*35x	(PartyIdentifier) (NameAndAddress)
83J	5*40x	(PartyIdentifier)
84A	[/36x\n]11c	(PartyIdentifier)(BIC)
84B	[/36x\n]11c	(PartyIdentifier)(BIC)
84D	[/36x\n]4*35x	(PartyIdentifier) (NameAndAddress)
84J	5*40x	(PartyIdentifier)
85A	[/36x\n]11c	(PartyIdentifier)(BIC)
85B	[/36x][35x]	(PartyIdentifier)(Location)
85D	[/36x\n]4*35x	(PartyIdentifier) (NameAndAddress)
85J	5*40x	(PartyIdentifier)
86	6*65x	(Narrative)
86A	[/36x\n]11c	(PartyIdentifier)(BIC)
86D	[/36x\n]4*35x	(PartyIdentifier) (NameAndAddress)
86J	5*40x	(PartyIdentifier)
87A	[/36x\n]11c	(PartyIdentifier)(BIC)
87B	[/36x][35x]	(PartyIdentifier)(Location)
87D	[/36x\n]4*35x	(PartyIdentifier) (NameAndAddress)
87J	5*40x	(PartyIdentifier)
88A	[/36x\n]11c	(PartyIdentifier)(BIC)
88B	[/36x][35x]	(PartyIdentifier) (Location)
88D	[/36x\n]4*35x	(PartyIdentifier) (NameAndAddress)
88J	5*40x	(PartyIdentifier)
89A	[/36x\n]11!c	(PartyIdentifier)(BIC)
89D	[/36x\n]4*35x	(PartyIdentifier)(NameandAddress)
89J	5*40x	(PartyIdentification)
90A	:4!c//4!c/[N]15d	(Qualifier)(PercentageTypeCode)(Sign)(Price)
90B	:4!c//4!c/3!a15d	(Qualifier)(AmountTypeCode)(CurrencyCode)(Price)
90C	5n3!a15d	(Number)(Currency)(Amount)
90D	5n3!a15d	(Number)(Currency)(Amount)
90E	:4!c//4!c	(Qualifier)(PriceCode)
90F	:4!c//4!c/3!a15d/4!c/15d	(Qualifier)(AmountTypeCode)(CurrencyCode)(Amount)(QuantityTypeCode)(Quantity)
90J	:4!c//4!c/3!a15d/3!a15d	(Qualifier)(AmountTypeCode)(CurrencyCode)(Amount)(CurrencyCode)(Amount)
90K	:4!c//15d	(Qualifier)(IndexPoints)
90L	:4!c//[N]15d	(Qualifier)(Sign)(IndexPoints)
91A	[/36x\n]11c	(PartyIdentifier)(BIC)
91D	[/36x\n]4*35x	(PartyIdentifier)(NameandAddress)
91J	5*40x	(PartyIdentification)
92A	:4!c//[N]15d	(Qualifier)(Sign)(Rate)
92B	:4!c//3!a/3!a/15d	(Qualifier)(FirstCurrencyCode)(SecondCurrencyCode)(Rate)
92C	:4!c/[8c]/24x	(Qualifier)(DataSourceScheme)(RateName)
92D	:4!c//15d/15d	(Qualifier)(Quantity)(Quantity)
92E	:4!c/[8c]/4!c/[N]15d[/4!c]	(Qualifier)(DataSourceScheme)(RateTypeCode)(Sign)(Rate)(RateStatus)
92F	:4!c//3!a15d	(Qualifier)(CurrencyCode)(Amount)
92H	:4!c//3!a15d/4!c	(Qualifier)(CurrencyCode)(Amount)(RateStatus)
92J	:4!c/[8c]/4!c/3!a15d[/4!c]	(Qualifier)(DataSourceScheme)(RateTypeCode)(CurrencyCode)(Amount)(RateStatus)
92K	:4!c//4!c	(Qualifier)(RateTypeCode)
92L	:4!c//3!a15d/3!a15d	(Qualifier)(FirstCurrencyCode)(Amount)(SecondCurrencyCode)(Amount)
92M	:4!c//3!a15d/15d	(Qualifier)(CurrencyCode)(Amount)(Quantity)
92N	:4!c//15d/3!a15d	(Qualifier)(Quantity)(CurrencyCode)(Amount)
92P	:4!c//15d	(Qualifier)(IndexPoints)
92R	:4!c/[8c]/4!c/15d	(Qualifier)(DataSourceScheme)(RateTypeCode)(Rate)
93B	:4!c/[8c]/4!c/[N]15d	(Qualifier)(DataSourceScheme)(QuantityTypeCode)(Sign)(Balance)
93C	:4!c//4!c/4!c/[N]15d	(Qualifier)(QuantityTypeCode)(BalanceTypeCode)(Sign)(Balance)
94A	4!c	(Scope)
94B	:4!c/[8c]/4!c[/30x]	(Qualifier)(DataSourceScheme)(PlaceCode)(Narrative)
94C	:4!c//2!a	(Qualifier)(CountryCode)
94D	:4!c//[2!a]/35x	(Qualifier)(CountryCode)(Place)
94E	:4!c//10*35x	(Qualifier)(Address)
94F	:4!c//4!c/11c	(Qualifier)(Place)(BIC)
